State,Age recode with <1 year olds,Count
Alabama,00 years,56246
Alabama,01-04 years,235674
Alabama,05-09 years,299404
Alabama,10-14 years,310210
Alabama,15-19 years,310127
Alabama,20-24 years,323264
Alabama,25-29 years,331899
Alabama,30-34 years,318647
Alabama,35-39 years,302872
Alabama,40-44 years,293490
Alabama,45-49 years,302481
Alabama,50-54 years,305693
Alabama,55-59 years,332661
Alabama,60-64 years,324620
Alabama,65-69 years,281928
Alabama,70-74 years,235789
Alabama,75-79 years,160349
Alabama,80-84 years,103319
Alabama,85+ years,92859
Alaska,00 years,9706
Alaska,01-04 years,40043
Alaska,05-09 years,51643
Alaska,10-14 years,49030
Alaska,15-19 years,44846
Alaska,20-24 years,50553
Alaska,25-29 years,58506
Alaska,30-34 years,57802
Alaska,35-39 years,53686
Alaska,40-44 years,44455
Alaska,45-49 years,41185
Alaska,50-54 years,42291
Alaska,55-59 years,46576
Alaska,60-64 years,44960
Alaska,65-69 years,37529
Alaska,70-74 years,26629
Alaska,75-79 years,15938
Alaska,80-84 years,8441
Alaska,85+ years,7339
Arizona,00 years,81409
Arizona,01-04 years,343346
Arizona,05-09 years,458844
Arizona,10-14 years,478216
Arizona,15-19 years,481924
Arizona,20-24 years,504348
Arizona,25-29 years,529789
Arizona,30-34 years,501041
Arizona,35-39 years,472582
Arizona,40-44 years,441334
Arizona,45-49 years,433090
Arizona,50-54 years,426594
Arizona,55-59 years,448906
Arizona,60-64 years,446003
Arizona,65-69 years,412556
Arizona,70-74 years,374349
Arizona,75-79 years,267038
Arizona,80-84 years,167934
Arizona,85+ years,152098
Arkansas,00 years,36035
Arkansas,01-04 years,150257
Arkansas,05-09 years,193212
Arkansas,10-14 years,200458
Arkansas,15-19 years,197095
Arkansas,20-24 years,201289
Arkansas,25-29 years,202805
Arkansas,30-34 years,196068
Arkansas,35-39 years,190974
Arkansas,40-44 years,181756
Arkansas,45-49 years,179715
Arkansas,50-54 years,178352
Arkansas,55-59 years,196283
Arkansas,60-64 years,189917
Arkansas,65-69 years,168129
Arkansas,70-74 years,142360
Arkansas,75-79 years,100225
Arkansas,80-84 years,64487
Arkansas,85+ years,61105
California,00 years,446864
California,01-04 years,1863516
California,05-09 years,2468600
California,10-14 years,2505304
California,15-19 years,2513522
California,20-24 years,2597931
California,25-29 years,3011714
California,30-34 years,3005343
California,35-39 years,2781508
California,40-44 years,2524241
California,45-49 years,2452996
California,50-54 years,2457952
California,55-59 years,2466381
California,60-64 years,2296040
California,65-69 years,1918055
California,70-74 years,1551490
California,75-79 years,1052210
California,80-84 years,698039
California,85+ years,756372
Colorado,00 years,63076
Colorado,01-04 years,261507
Colorado,05-09 years,344851
Colorado,10-14 years,361425
Colorado,15-19 years,366386
Colorado,20-24 years,380269
Colorado,25-29 years,461679
Colorado,30-34 years,462331
Colorado,35-39 years,433137
Colorado,40-44 years,382981
Colorado,45-49 years,360321
Colorado,50-54 years,344624
Colorado,55-59 years,357179
Colorado,60-64 years,351566
Colorado,65-69 years,303686
Colorado,70-74 years,239677
Colorado,75-79 years,149796
Colorado,80-84 years,91938
Colorado,85+ years,91290
Connecticut,00 years,34232
Connecticut,01-04 years,145359
Connecticut,05-09 years,193731
Connecticut,10-14 years,210332
Connecticut,15-19 years,234796
Connecticut,20-24 years,238322
Connecticut,25-29 years,225727
Connecticut,30-34 years,222900
Connecticut,35-39 years,221485
Connecticut,40-44 years,210397
Connecticut,45-49 years,215492
Connecticut,50-54 years,245442
Connecticut,55-59 years,264570
Connecticut,60-64 years,248225
Connecticut,65-69 years,200667
Connecticut,70-74 years,163097
Connecticut,75-79 years,116400
Connecticut,80-84 years,75258
Connecticut,85+ years,90574
Delaware,00 years,10497
Delaware,01-04 years,43964
Delaware,05-09 years,56799
Delaware,10-14 years,58119
Delaware,15-19 years,60477
Delaware,20-24 years,57543
Delaware,25-29 years,63991
Delaware,30-34 years,65661
Delaware,35-39 years,60335
Delaware,40-44 years,55508
Delaware,45-49 years,55020
Delaware,50-54 years,61541
Delaware,55-59 years,69431
Delaware,60-64 years,70329
Delaware,65-69 years,64177
Delaware,70-74 years,54285
Delaware,75-79 years,36546
Delaware,80-84 years,21982
Delaware,85+ years,20604
Florida,00 years,219558
Florida,01-04 years,915447
Florida,05-09 years,1179044
Florida,10-14 years,1211524
Florida,15-19 years,1202855
Florida,20-24 years,1263937
Florida,25-29 years,1395878
Florida,30-34 years,1422593
Florida,35-39 years,1355944
Florida,40-44 years,1293216
Florida,45-49 years,1323586
Florida,50-54 years,1369217
Florida,55-59 years,1497423
Florida,60-64 years,1444996
Florida,65-69 years,1326632
Florida,70-74 years,1212944
Florida,75-79 years,903122
Florida,80-84 years,599087
Florida,85+ years,596309
Georgia,00 years,124993
Georgia,01-04 years,522551
Georgia,05-09 years,687297
Georgia,10-14 years,726884
Georgia,15-19 years,731958
Georgia,20-24 years,726152
Georgia,25-29 years,765892
Georgia,30-34 years,740467
Georgia,35-39 years,710868
Georgia,40-44 years,683979
Georgia,45-49 years,698848
Georgia,50-54 years,692250
Georgia,55-59 years,694684
Georgia,60-64 years,628527
Georgia,65-69 years,524975
Georgia,70-74 years,434289
Georgia,75-79 years,286294
Georgia,80-84 years,173520
Georgia,85+ years,155589
Hawaii,00 years,16244
Hawaii,01-04 years,67796
Hawaii,05-09 years,87555
Hawaii,10-14 years,78574
Hawaii,15-19 years,74824
Hawaii,20-24 years,87107
Hawaii,25-29 years,98412
Hawaii,30-34 years,97947
Hawaii,35-39 years,95419
Hawaii,40-44 years,86460
Hawaii,45-49 years,81388
Hawaii,50-54 years,83325
Hawaii,55-59 years,87874
Hawaii,60-64 years,89001
Hawaii,65-69 years,82862
Hawaii,70-74 years,71844
Hawaii,75-79 years,48085
Hawaii,80-84 years,30143
Hawaii,85+ years,42146
Idaho,00 years,21547
Idaho,01-04 years,92301
Idaho,05-09 years,125055
Idaho,10-14 years,132772
Idaho,15-19 years,127139
Idaho,20-24 years,119974
Idaho,25-29 years,122723
Idaho,30-34 years,118855
Idaho,35-39 years,120252
Idaho,40-44 years,113978
Idaho,45-49 years,104222
Idaho,50-54 years,101277
Idaho,55-59 years,109050
Idaho,60-64 years,111774
Idaho,65-69 years,102392
Idaho,70-74 years,83550
Idaho,75-79 years,55797
Idaho,80-84 years,33841
Idaho,85+ years,30414
Illinois,00 years,140052
Illinois,01-04 years,587467
Illinois,05-09 years,762503
Illinois,10-14 years,795778
Illinois,15-19 years,812241
